taxon_id	name
10855	Spiroplasma phage 4
12141	Tombusvirus
223769	Grapevine Anatolian ringspot virus
663553	Mycobacterium phage Colbert
59749	Maize rayado fino virus
1955199	San Bernardo virus
1908807	Ceratobasidium endornavirus B
649596	Micromonas pusilla reovirus
10856	Bdellomicrovirus
1327968	Cellulophaga phage phi48:2
971271	Tomato leaf curl Hanoi virus
254249	unclassified Roseolovirus
591166	Southern tomato virus
1636184	Streptomyces phage TP1604
1521385	McMurdo Ice Shelf pond-associated circular DNA virus-1
1521386	McMurdo Ice Shelf pond-associated circular DNA virus-2
1521387	McMurdo Ice Shelf pond-associated circular DNA virus-3
1521388	McMurdo Ice Shelf pond-associated circular DNA virus-4
10385	Bovine gammaherpesvirus 4
1521390	McMurdo Ice Shelf pond-associated circular DNA virus-6
1504288	Bovine gammaherpesvirus 6
1521392	McMurdo Ice Shelf pond-associated circular DNA virus-8
35287	Waikavirus
1340750	Escherichia phage JH2
1698709	Mycobacterium phage Enkosi
1985968	Alfalfa virus S
1891703	Mycobacterium phage Tonenili
424716	Salmonella phage Vi II-E1
35288	Vitivirus
1735722	Haloarcula californiae icosahedral virus 1
884611	Bitter gourd yellow vein virus
1610834	Klebsiella phage vB_KpnP_SU503
335341	Influenza A virus (A/New York/392/2004(H3N2))
1887650	Gordonia phage Jumbo
126070	Columbid circovirus
401040	Okra yellow crinkle virus
326574	Sphaerolipoviridae
1837850	Pseudomonas phage PEV2
1446489	Escherichia phage vB_EcoS_FFH1
1884991	Senna leaf curl virus
1663210	Ostreococcus mediterraneus virus 1
137475	Cucumber vein yellowing virus
1034377	Socyvirus
1597976	Enterococcus phage EFDG1
1608140	Wutai Mosquito Virus
206156	Norovirus GIII
1918525	Cellulophaga phage phi17:2_18
1379713	Circoviridae 9 LDMD-2013
434346	Cyanophage PP
1815972	Mycobacterium phage ArcherNM
1027244	Bovine astrovirus B170/HK
28344	Porcine reproductive and respiratory syndrome virus
1692250	Gammarus sp. amphipod associated circular virus
1678175	unclassified Endornaviridae
31602	Bean calico mosaic virus
139870	Lactobacillus prophage Lj965
1168547	Acartia tonsa copepod circovirus
397543	unclassified Ipomovirus
1873696	Mycobacterium phage Gardann
1595998	Human smacovirus 1
1105327	Vibrio phage VCY-phi
1204521	Escherichia phage ECML-117
1071504	Mycobacterium phage Turbido
1534549	unclassified Gallivirus
205879	Mycobacterium virus Omega
307111	Cotton leaf curl Bangalore betasatellite
1838074	Gordonia phage OneUp
674976	Dinornavirus
548915	Tomato leaf curl Kumasi virus
436066	Phlox virus S
1458851	Enterococcus phage VD13
1770265	unclassified Enamovirus
1541883	Escherichia phage vB_EcoM-ep3
74320	Buzura suppressaria nucleopolyhedrovirus
1536611	Yersinia phage vB_YenP_AP5
1094892	Megavirus chiliensis
1685756	Lake Sarah-associated circular virus-29
1379725	Circoviridae 21 LDMD-2013
1302849	Sporobolus striate mosaic virus 1
213633	Carmotetraviridae
1838069	Gordonia phage Orchid
10275	Suipoxvirus
33765	Tobacco vein banding mosaic virus
1923545	Wenling tombus-like virus 3
767806	Enterococcus phage EFRM31
37665	Phaeovirus
260379	Tomato leaf curl Mali virus
347328	Pseudomonas phage M6
862945	Avian paramyxovirus penguin/Falkland Islands/324/2007
1685748	Lake Sarah-associated circular virus-21
1500866	Drosophila immigrans Nora virus
1462685	Bush viper reovirus
1479613	Puerto Almendras virus
1354498	Guereza hepacivirus
1458848	Escherichia phage Bp4
1572747	Mannheimia phage vB_MhS_1152AP2
1852629	Acinetobacter phage vB_AbaS_TRS1
1530400	Pseudomonas phage Pa2
1908802	Mouse cyclovirus
145856	Human picobirnavirus
44561	Murine type C retrovirus
634772	Dyokappapapillomavirus
83839	Pepper leaf curl virus
508419	Lactobacillus virus c5
152265	unclassified Ampelovirus
706122	Ipomoea begomovirus satellite DNA beta
1685786	Lake Sarah-associated circular virus-9
548686	Ostreavirus
