#tax_id	genomic_nucleotide_accession.version
5481	NW_022995157.1
5481	NW_022995158.1
5481	NW_022995159.1
5481	NW_022995160.1
5481	NW_022995161.1
5481	NW_022995162.1
5481	NW_022995163.1
5481	NW_022995164.1
5481	NW_022995166.1
5481	NW_022995167.1
5481	NW_022995169.1
5481	NW_022995170.1
5481	NW_022995171.1
5481	NW_022995172.1
5481	NW_022995173.1
5481	NW_022995174.1
5481	NW_022995175.1
5481	NW_022995176.1
5481	NW_022995178.1
5481	NW_022995180.1
5481	NW_022995181.1
5481	NW_022995183.1
5481	NW_022995184.1
5481	NW_022995186.1
5481	NW_022995187.1
5481	NW_022995189.1
5481	NW_022995190.1
5481	NW_022995196.1
5481	NW_022995197.1
5481	NW_022995199.1
5481	NW_022995200.1
5481	NW_022995203.1
5481	NW_022995204.1
5481	NW_022995205.1
5481	NW_022995206.1
5481	NW_022995207.1
5481	NW_022995208.1
5481	NW_022995209.1
5481	NW_022995211.1
5481	NW_022995212.1
5481	NW_022995213.1
5481	NW_022995214.1
5481	NW_022995215.1
5482	NC_022160.1
5486	NC_013809.1
5507	NC_017930.1
5516	NC_026993.1
5518	NC_009493.1
5530	NC_008068.1
5537	NC_036340.1
5551	NC_012824.1
5599	NW_017306216.1
5599	NW_017306217.1
5599	NW_017306218.1
5599	NW_017306219.1
5599	NW_017306220.1
5599	NW_017306221.1
5599	NW_017306222.1
5599	NW_017306223.1
5599	NW_017306224.1
5599	NW_017306225.1
5599	NW_017306226.1
5599	NW_017306227.1
5599	NW_017306228.1
5599	NW_017306229.1
5599	NW_017306230.1
5599	NW_017306231.1
5599	NW_017306232.1
5599	NW_017306233.1
5599	NW_017306234.1
5599	NW_017306235.1
5599	NW_017306236.1
5599	NW_017306237.1
5599	NW_017306238.1
5599	NW_017306242.1
5599	NW_017306190.1
5599	NW_017306191.1
5599	NW_017306192.1
5599	NW_017306193.1
5599	NW_017306194.1
5599	NW_017306195.1
5599	NW_017306196.1
5599	NW_017306197.1
5599	NW_017306198.1
5599	NW_017306199.1
5599	NW_017306200.1
5599	NW_017306201.1
5599	NW_017306202.1
5599	NW_017306203.1
5599	NW_017306204.1
5599	NW_017306205.1
5599	NW_017306206.1
5599	NW_017306207.1
5599	NW_017306208.1
5599	NW_017306209.1
5599	NW_017306210.1
5599	NW_017306211.1
